GPU_ID,GPU_Usage,Memory_Used,Temperature,Power_Draw
0, 13 %, 1386 MiB, 40, 61.31 W
1, 10 %, 1436 MiB, 43, 60.36 W
2, 7 %, 1514 MiB, 47, 60.86 W
3, 2 %, 1514 MiB, 42, 58.88 W
4, 0 %, 8 MiB, 41, 44.56 W
5, 0 %, 8 MiB, 46, 45.08 W
6, 0 %, 8 MiB, 45, 44.59 W
7, 0 %, 8 MiB, 40, 44.56 W
0, 100 %, 3608 MiB, 48, 182.85 W
1, 99 %, 3608 MiB, 50, 189.36 W
2, 99 %, 3968 MiB, 53, 75.13 W
3, 99 %, 3968 MiB, 48, 71.13 W
4, 0 %, 8 MiB, 41, 44.53 W
5, 0 %, 8 MiB, 45, 45.06 W
6, 0 %, 8 MiB, 44, 44.56 W
7, 0 %, 8 MiB, 39, 44.53 W
0, 100 %, 3800 MiB, 50, 264.48 W
1, 99 %, 3800 MiB, 52, 282.32 W
2, 99 %, 3968 MiB, 56, 239.36 W
3, 99 %, 3968 MiB, 50, 234.82 W
4, 0 %, 8 MiB, 41, 44.50 W
5, 0 %, 8 MiB, 45, 45.06 W
6, 0 %, 8 MiB, 44, 44.53 W
7, 0 %, 8 MiB, 39, 44.50 W
0, 98 %, 3800 MiB, 52, 198.31 W
1, 99 %, 3800 MiB, 53, 182.48 W
2, 99 %, 3968 MiB, 58, 302.21 W
3, 100 %, 3968 MiB, 54, 265.80 W
4, 0 %, 8 MiB, 41, 44.04 W
5, 0 %, 8 MiB, 44, 44.56 W
6, 0 %, 8 MiB, 43, 44.56 W
7, 0 %, 8 MiB, 39, 44.04 W
0, 98 %, 3800 MiB, 51, 81.93 W
1, 98 %, 3800 MiB, 52, 80.45 W
2, 100 %, 3968 MiB, 61, 282.81 W
3, 99 %, 3968 MiB, 56, 266.29 W
4, 0 %, 8 MiB, 40, 44.04 W
5, 0 %, 8 MiB, 44, 44.56 W
6, 0 %, 8 MiB, 43, 44.56 W
7, 0 %, 8 MiB, 38, 44.01 W
0, 98 %, 3800 MiB, 50, 80.40 W
1, 98 %, 3800 MiB, 53, 79.96 W
2, 100 %, 3968 MiB, 61, 278.89 W
3, 99 %, 3968 MiB, 57, 268.25 W
4, 0 %, 8 MiB, 40, 44.04 W
5, 0 %, 8 MiB, 43, 44.56 W
6, 0 %, 8 MiB, 42, 44.53 W
7, 0 %, 8 MiB, 38, 44.01 W
0, 99 %, 3800 MiB, 51, 80.40 W
1, 99 %, 3800 MiB, 53, 79.96 W
