GPU_ID,GPU_Usage,Memory_Used,Temperature,Power_Draw
0, 4 %, 1574 MiB, 37, 60.24 W
1, 1 %, 1398 MiB, 37, 58.81 W
2, 0 %, 1274 MiB, 38, 58.31 W
3, 7 %, 1482 MiB, 37, 57.33 W
4, 4 %, 1582 MiB, 39, 58.77 W
5, 6 %, 1394 MiB, 39, 59.30 W
6, 2 %, 1318 MiB, 39, 59.30 W
7, 17 %, 1498 MiB, 36, 57.78 W
0, 4 %, 3046 MiB, 39, 158.08 W
1, 54 %, 2874 MiB, 41, 186.29 W
2, 99 %, 2750 MiB, 43, 98.62 W
3, 99 %, 4328 MiB, 40, 70.06 W
4, 0 %, 2406 MiB, 39, 58.24 W
5, 0 %, 2218 MiB, 40, 70.59 W
6, 11 %, 2598 MiB, 40, 113.10 W
7, 98 %, 4344 MiB, 40, 208.34 W
0, 99 %, 3666 MiB, 45, 225.04 W
1, 99 %, 3066 MiB, 43, 255.04 W
2, 98 %, 2942 MiB, 45, 258.46 W
3, 100 %, 4722 MiB, 44, 267.23 W
4, 97 %, 3674 MiB, 46, 174.19 W
5, 99 %, 3062 MiB, 47, 263.36 W
6, 99 %, 2986 MiB, 45, 279.50 W
7, 99 %, 4738 MiB, 43, 258.76 W
0, 99 %, 3666 MiB, 45, 226.27 W
1, 99 %, 3066 MiB, 43, 79.26 W
2, 99 %, 2942 MiB, 44, 74.04 W
3, 99 %, 4722 MiB, 45, 72.03 W
4, 99 %, 3674 MiB, 46, 215.34 W
5, 99 %, 3062 MiB, 47, 78.82 W
6, 99 %, 2986 MiB, 45, 75.96 W
7, 99 %, 4738 MiB, 43, 72.47 W
0, 99 %, 3666 MiB, 45, 229.40 W
1, 99 %, 3066 MiB, 45, 97.87 W
2, 99 %, 2942 MiB, 48, 224.95 W
3, 99 %, 4722 MiB, 47, 76.80 W
4, 100 %, 3674 MiB, 47, 239.38 W
5, 99 %, 3062 MiB, 48, 167.40 W
6, 99 %, 2986 MiB, 49, 175.60 W
7, 99 %, 4738 MiB, 46, 76.31 W
0, 100 %, 3666 MiB, 46, 100.69 W
1, 100 %, 3066 MiB, 46, 261.42 W
2, 100 %, 2942 MiB, 47, 252.10 W
3, 99 %, 4722 MiB, 51, 255.19 W
4, 100 %, 3674 MiB, 48, 168.54 W
5, 100 %, 3062 MiB, 50, 174.65 W
6, 99 %, 2986 MiB, 48, 248.19 W
7, 99 %, 4738 MiB, 49, 276.51 W
0, 100 %, 3666 MiB, 45, 76.80 W
1, 100 %, 3066 MiB, 45, 191.20 W
2, 99 %, 2942 MiB, 49, 149.35 W
3, 98 %, 4722 MiB, 52, 257.65 W
4, 100 %, 3674 MiB, 47, 76.26 W
5, 99 %, 3062 MiB, 48, 201.87 W
6, 99 %, 2986 MiB, 50, 129.80 W
7, 98 %, 4738 MiB, 50, 253.57 W
